Title,Query,Answers
parents coming home from vacation,"Hello, Hope everyone is doing well, My parents are coming home from an extended vacation. Mom said today that dad was getting up in the middle of the night and changing his clothes and wondering. She aslo said that he has been very tired and falling asleep during the day alot. I sugguested that we have some alarms set on the doors in their home before they get home and also put some baby proof knobs on the stove. Does any one know of a good alarm system, one that is not a big investment. Any other suggestions to make their home safer for them? Any info would be great. I also suggested that she go to a support group so that she can learn how to better care for him but she did not want to hear about any of that. Wow this disease is awuful. Thanks","Thanks Lyn....


 Hi there Please see the Thread I did on Wandering It may give you some help and some ideas as well Take care


 Not a problem at all hun Be well and hope to see you around"
My Mother,"For reasons that I do not want to get into, I had been estranged from my mother for a few years. I found out accidentally two days ago that she has been in an nursing home since August. I have been crying ever since. I went to see her today and she was kind and gentle. We both cried and I am so darn upset that my brother put her there. He is basically the reason we did not see each other. He did not even call me to let me know that she was in the nursing home with Alzheimers. I was told that she is in stage 5. My mother has no short term memory, but she can remember things that happened years ago. I was told that she accidentally overdosed on her meds, tried to leave the house in the middle of the night, pacing and rooting through trash cans. It breaks my heart to see her like this. I so desparately want to bring her home with me. I am retired. She says that she knows that she has to be there annd feels safe. She also says that she would rather be on the outside but knows this is best for her. How could I prevent her from wandering and cooking in the middle of the night and leaving the stove on? Do you think that at this point she does need to be there and I am being selfishfor wanting her home with me. I love her so much and always have and I hate to see her there. She can shower and dress herself and care for her bodily functions and she is not wheel chair bound. She can also feed herself. She is just so darn scared.","I bumped that Nursing Home thread for you If you need to talk hun I am here I know what you are going thru I really do and I would not mind talking to you privately for support for both of us Lyn Info under name


 It could be that your taking your Mom out so often the state thinks she doesn't need to be there.Being on state aide means they have to stay in the facility but can go to church on Sundays.Moving here most likely would be detrimental to her well being,so if you do take her home you wouldn't be able to travel with her.You would be staying home to care for her,esp.In stage 5............


 Wondering how things are going and what the outcome of all this has been As well wondering how you are feeling


 Thamks for keeping me in the loop I am really glad the place she is in is clean and she is taken well care of Goping to the Senior centre is a good thing as she will have stuff to do and meet others as well Keep me posted will you How are you feeling BTW


 Hi there......... I looked after my mom at home she could basically do most things for self as well she passed away in March this yr I know it is a very hard job but it has many rewards and if SHE wants to come home to try it with you I think that would l be the best IMO I also look after my dad who now is with alzheimers It is demanding on your time but fulfuls your heart so much This is something you must really decide for self I have crohns and other illnesses but I am still able to look after dad ........'There are safety controls such as they have for kids for stoves and all that so do please check into it 'Meanwhile I will bump the NH ratings here and you see if she is in one of those places I am so sorry this has come to happen Please continue to post God Bless Lyn


 I really appreciate your support. I thought that things were going pretty well. She is about 1.5 hours away from where I live, so I only get to visit three times a week. I take her out to lunch and we go shopping and have really nice times. The more I see her, I realize that things are not always as they seem. She can get angry easily and she does have some incontinent issues which she denies, along with her confusion. The state has decided that they will now not pay for the nursing home. Mom is just so upset. The director called her into his office and gave her this news with my brother on the phone. I am really annoyed that the home did not have a family member present for her. She has a 30 day appeal. I have lyme disease and my doctor advised me not to bring her home with me. When I saw her on Sunday, she had her things all packed. She forgot about the appeal and was very upset about leaving the home. She has made good friends and she wants to stay. I saw her again on Monday and she was somewhat better. I have also been advised, since we have this appeal, to not take her on outings until this is resolved. So, I stop and bring it lunch for her and her friend. I am still on the fence about bringing her home with me. I can not afford to pay for the nursing home. The state wants her in assisted living, which my brother says he can afford to pay. I am fearful that her being moved will make her get worse. We travel alot, DH for work and I go with him. I wonder if I could take her as well???? So many questions and I do not know what I should do.


 Thanks Snowy great input and to the point as per the norm Lyn How are you n Larry doing??


 Thanks for asking. The nursing home did not wait until the end of the 30 day appeal. She still had about two weeks left on the appeal and they wanted her out right away. She is in an assisted living facility, further away from me, paid by Medicaid. I now visit her once or twice a week. The facility is in a home and there is just not that much for her to do. She does go to a senior center once a week and enjoys that very much. She does not want to come and live with me. She fears that she will get worse and that I could not handle it. The place she is in is very clean and well taken care of."
Do I Share Here..........,"well, I have been here and posted once, but it was to ask a question not to share and I wonder how does one share? Do I ""tell my story""here or is there a specific spot? Also does anyone go on the chat sites? Some times I would like someone just to chat with in real time so to speak.. Thanks Hootenders wife I put a title to your thread ........you can change if you want it makes it easier for ppl to know what thread is all about ............. Merry Christmas to you LYN Post Edited By Moderator (Howlyncat) : 12/25/2006 5:38:10 AM (GMT-7)","Just checking in to seee how you are doing


 Hey chilkoo Please do feel free to come here anytime and yak or my info is under my name for yahoo and Msn....... I am so sorry you and hubby are going thru all of this I know what it is lik e ' I lost mom in march this yrand I look after my dad right now Very hectic to say the least but I love him to pieces Will be looking forward to hearing from you again God Bless Lyn


 Look forward to it Mom went same way and with Alzheimers I do feel your pain Lyn


 I thought I answered the post hum.. Anyhow this has been a real trying few days..I got a horrid migrain yesterday had to take the meds for it.that makes me so tired..it accured I am sure from decisions my adult children and children in-laws are making that are POOR I also have a flare up in my knee and it is twice what it should be. I took Larry my husband to doctor on Wed. They are changing him from Aricept to Razadyne ER they also put him on an antidepressent. It is called remeron. ANyhow the pain in my knee is nothing compared to the pain in my heart watching the man I love go through this. We have been married 22 years and together 23. He has raised my children from 3,2,and newborn. He has always been the best you know what I mean..I think of my ""X"" husabnd who never cared about his children and all the abuse he gave me. Why is he not sick why Larry. OK I AM BETTER


 SnowyLynne may I ask how old you are? My husband id 53 this past November. He was diagnosed about 2 years ago. Hookswife


 Sometimes my husband said he feels like the easier something is that he should know the more up set he gets at himself it is very hard for him as we have no support groups for early onset Ad around here.


 yes he is finally getting to where he will tell especially our grown children you know I just cant figure it out. They are 22,23,25 he was alwaysy trying to spare them that he was not able now he just says I cant. I now tell them that he cant hanle their stressful problems and they are going to have to grow up maybe I am being selfish I dont know. he always was the bread winner and I stayed home , he was as our oldest said superman and ways laughter is so good. Larry will laugh when I say you know we watched that whatever it might be and he says the good thing about Ad is these are all new to me lolol


 Well, today I am really in a mess tears all over the place. I have so many crazy things going on currently. Our oldest nephew my husbands name sake will be shipping out on Jan. 3rd 18 months away from his children and wife. Very envovled family and now he will be in a scary place. Anyhow hubby and he had a great talk. Hubby is so funny, they talked football and when he was off the phone he said man I cant believe I remembered all that. Then said laughing or maybe he is being polite and dint correct me...lol humor is good. I have been on Cymbalta for my neck nerve damage and now I ran out I think that is why I feel like all this is so much. I mean it has been a really crazy few months. Anyhow I shall prevail the Lord has me in His Care. Chilkoo


 bump


 Sorry you are in ythis way hun I hope something turns your way and real soon I bet the howling wind is beautiful Post again please and let me know how things are


 the storm out side has passed. But the sorm of the deseace continues on. It is all quiet in the house not even a cat or a mouse.lol I must have a new adiction as I check here before coffee now. Oh NO!! Called doctors yesterday to get a script or samples. I hope to get it today usual takes them 48 hours but I am calling to check. I have to do a med run for hubby and would like to get mine filled too. I go out of town 60 one wway as it is cheaper. With now medical coverage it is imparative to go where cheapest. Ok back later Chil


 The gas has gone down here Snowy not sure about where you's are ..... Chill I believe is in Alaska ........ Chill I hope you can get both at same time saves on alot wear and tear of car as well as your sanity ........ Thanks for keeping in touch........ I wish you well ..........Keep in touch God Bless Lyn


 Hello again and welcome back You can share here some or what ever you feel comfy with I share all Also if you need to talk one on one my yahoo and msn is under name at side please DO feel free to add me and we can chat anytime you need Glad you posted Merry Christmas and all the best in 2007 Lyn


 Hello, I am doing alright. We had a nice Christmas and now my husband is messing with the new stuff he got from me..Christmas eve was a bit crazy for him due to the Alz me do to my lack of sleep the night before and pain in my joints. BUT, it was fun. My husband is 53 was diagnosed with the alz 2 years ago. His father died of it at age 72. My step grandfather at 75 we know whats going on so to speak . Larry however is on meds something they did not have at the time. He is on disability ss and has been at home. He cant do his old job that he provided us an income, he had injuries from on the job. Long story anyhow. But they now claim because he was diagnosed with Alz and cant retrain it is our problem Our lawyer howeverhas helped them to see different. This really takes a toll on my husband the constant on and off with the L&I people. Anyhow I am so happy to have a place to talk. Hook tenders wife that should read good but if it werent for God I would be crazy... Post Edited (chilkootpass) : 12/26/2006 4:38:26 PM (GMT-7)


 I lost my dad Oct.1 to his emphzema he lived with my husband and I the last 3 years. He moved in my husband was injuried then diagnosed but now Dad is at peace. Talk more later.


 How are you doing Just wondering if all is well Lyn


 I'm on Razadyne & Remeron.They work great together.I was diagnosed 10 yrs ago But was on Aricept the first 4 yrs & when it quit working I was put on Razadyne,that was 6 yrs ago.I'm still doing very well.


 I was 57 when I was dx I am now 67........


 I try to keep away from the stress of forgetting or whatever.I just laugh it off & go on.Why worry about something I can not control?


 Thanks for sharing and posting I was just wondering how you were getting on Yes it is is heartbreaking to see what this DD can do to ou loved ones Please take care of you as well Tough love is sometimes needed my dad is my step dad but he is my DAD always has been there for me and I will always be ther for him He was and is my hero God Bless Lyn Hope the remeron helps I have heard good things about this med Lyn


 Chilkoo I hope you get to a doc asap about the meds they are not a med you should be out of and not taking once you have them in system It is not to great to hear bout all you are going thru I had wished you all the best .May your nephew be kept in the Lords hands whilst away and you taken care of too Try to get ahold of a doc please Take care and God Bless Lyn Happy New Year


 thanks Lynn boy I know but cant do a thing cause of HOlidays until we it would be today. Any ways I dont look forward ot the icky way I will feel to get it into my body. I am sitting in the spare bedroom in the quiet litsening to wind howl I wish I were at the ocean it is so cool when it does that. ok talk later.


 bump


 It depends on how much is saved by going 120 miles round trip.The price of gas can eat up the savings"
Net bed?  Where to purchase?,"My father has alzheimer's and has recently suffered a stroke. He can no longer walk but he forgets this of course and tries to get up out of bed in the night. In the hospital he had a special ""net bed"" that zipped up over the bed which prevented him from getting out. We have tried to find a bed such as this to purchase - searched online to no avail. Does anyone know where we can buy this saftey bed? He is back at home now and we are getting desperate because he cannot be left alone for a minute because he will fall. Help please. Thank you.","Thanks so much Lyn. We actually finally found a company that sells them, right after I posted this. It's called vivaxmedical.com for anyone else interested. They call it a canopy bed and it seems to be just what we needed. My mother asked at the hospital and they said we can expect to spend $5,000. (yikes!) But if it keeps him safe, it's worth it. This has been so difficult - as if the Alzheimer's wasn't enough (he was in the very early stages - just very forgetful and sometimes confused) now the stroke, and no longer the use of his leg) has really thrown us for a loop. I will check back on this site - I am sure there is good information for our family. Thanks again.


 Ask the hosp.where they got the net bed.


 He's still goingto rehab 3 times aweek.He walks great but we just need to get the kneecap to cooperate.They are doing strenghening exercises with him now.


 Hoping input here will help those looking for Net beds


 Bump


 Hi and Welcome I will do some searching for you .....I would think that pharmacies and speciality stores that cater to Geriatric supplies would and should have them....if all else fails could you possibly ask the hospital where they got the one he had .......Hospital supply stores should have them as well .........I am really sorry about your Dad but I am glad you did find us here as we are a good support sytem with fantastic peeps .........Another place to try is Alzinfo.com........I get their newletters and I would try that as well .....I will post as soon as I find something out for you ........Take care and God Bless....Lyn


 Is there ANY way you can get some kind of supplemental help to pay for this ........I have a canopy over my daughters bed and it was only 20.00 if you or your Mom are handy with crafts /sewing a zipper could always be put in it and saves lots of money ........of course you would have to get a more heavy duty one then I have for Cait I know all about what AD can do hun my Mom just passed away 5 months ago today and I am still looking after my step Dad who is also stricken with this horrid disease.......... I was a geriatric nurse and saw many peeps with this but never did I expect my parents to get it ya know ......Enjoy an drelish every moment with your Dad please......make new memories ,yes even silly and fun ones .......you will never ever regret it .......please do continue to come here as the support and peeps are fantastic .......and I am sure you have input to help others as well ...... God Bless you and your Mom..........Lyn


 Thanks Snowy.........How are you and Larry doing .............Hoping all is good .......God Bless.......Lyn


 I am glad he is doing better I am sure it will take some time but as I said it is so good to hear ..........take care and God Bless........Lyn


 Got one for Dad and got it at the ""Medical Pharmacy"" here in Chatham They are out there and this wasnt too costly either WAY way below 5000 and I was able to get some help from gov for costs ........."
When loved ones get upset over things out of your control?,"I find My Mary's logical thinking seems in the mist most of the time and she will tell me how to do things. and I will explain to her what I am doing and why and she will go into a long detailed reason that is unreasonable for doing something that I can't do! Then as I try to tell her why her comment to me always ends up with her saying ""Look I'm Old not stupid"" which makes me feel horrible that she would think I was even saying such. I suppose silence is golden and it's best just to say nothing or explain nothing! Which for me because this is new is hard to do for in the past it would of only been a matter of rational discussion and now it's not! I find for me as a way to regain my own sanity I have to leave the room and/or get out of the house when she begins to yell at me such things! Forgive me I just went through such an episodes with her and at the moment I am venting my own frustrations! Rabbin","You must remember she is not in ""our""world anymore just in ""her"" world.So you stay in her world it's alot better.Just go with the flow & don't worry.


 Have you been diagnosed with Alzheimer's? If you feel you have a problem, have your Dr refer you to a good Neurologist.


 You cannot reason with a person with this disease IMO Sometimes it is better for them to go into their world ya know it is not hard to do at all Less frustration and aggitation for all involved


 Please dop not apologise for being or getting frustrated you are going to and more down the raod thats why we are here Support and Empathy go along way here Each of us already are or have been where you are right now Perhaps not all things you are gonna do but soem lil things take in front of her and just say ""Well Mary how do you supose we can fix this / (make it simlpe and go along with it Other harder more troublesome things take out to another room or find your self a lil ""Zone"" where you can get some things done if possible I am sure others will have more suggestions I would just leave it when Mom got like that change subject and then go back to it whilst she was napping Wishing all the best Healing Energy God Bless you Both Lyn


 my disease acts alot like MS, but I' ve been diagnosed as Alzheimers. I go two to four day deep in it, can't write a letter, losing inportant passwords, in twilight seeing things, lose my balance, then it mostly comes backs. Is that alzheimers? Post Edited (deepinit) : 12/30/2006 2:36:44 PM (GMT-7)


 Welcome I totally agree with Snowy on this one you need to be properly dx if not yet See a nuerologist as soon as possible Take care and God Bless Happy New Year snowy and to you as well Give Larry my best as well Snowy All the best in 2007 Lyn


 You have got to try and go into there world at most times IMHO Dad was flustered today as I was trying to explain my illness and I had to leave it at just that .......... Dad I am sick..."
nursing home,"I just needed to let someone know that I recently had to put my 47 year old husband in a nrsing home with locked ccdi unit- they say he has lewy body dementia.....The guilt I am feeling for this is unbearable-eventhough everyone including docs say that this is the best place for him. i work 2 jobs and he needs 24 -7 care at this point. I just cant stand to see him in a place like this -he needs help eating, dressing and all daily activities, i tried keeping home for awhile-with help from relatives, but it got to be too much for them also. is it true that people with dementia do better in home with like individuals where thier routine is the same every day? Jules",I believe it depends on the person and the place that they are in I am so sorry you had to deal with this I hope it all works out for you please do keep us posted please Take care and God Bless Lyn **CHeck out NH thread I have bumped**
working with dementia and alzheimers,"Hi guys just wanted to share with you that i am working with an elderly lady who has very early stages of dementia!!! this is something i have done before, and have decided to go back into it again (part time only) so will be checking in here more often to see if you guys can give me any of your tips or advice or if i can be of help to any one else on here!! hope everyone is well take care Sandra xxxx","Hi Sandra ....Welcome .........anything we can help you with let us know ........Glad to have you aboard.......God Bless.........Lyn


 Oh,dear!


 thanks guys i have a great hubby who has been helping me with what i can't do!! mrs mac xxx


 hey lyn, thanks how you doing honey?? sandra xxx


 thinking of you hon!!!! take it easy, email me if you need to chat more, i know what you are going through hon!!! sandra xxx


 Sis.....Am sure enjoying the hot tea........Wish we could be sharing and talking over a cup right now......miss you ........How is your Dad and Mom doing ........and YOU are you okay??..........Love ya sis......God Bless.....Lyn


 I fell once & broke my wrist.I had 2 days off & went back to work.Never did scratch my patients.


 hi guys spent a couple of days in hospital, had to have an op, wrist put back in place and 2 wires to keep it there, will have to stay like that for 5 weeks, then wires out and plaster off, then hopefully just a brace for 3 weeks. am staying with my mum for a few days, heading back home on wed, via oban hosp for appt hope you guys are all well sandra xxx


 Sandra how are you doing hun Hoping all is well Love lyn


 Glad to hear from you ....... Sorry bout the arm that has to be hard for you and now a cold as well .......... Healing Energy coming your way God Bless I am doing OK it would have been Mom's Birthday yesterday and I was determined to get thru it best I could and I did so all is pretty good here Dad is getting worse but that was to be expected Take care sweetie Keep in touch


 Bringing up to top


 Dementia is an umbrella word for all the demetias.


 well guys have ha to put all work on hold just now as i fell on tuesday and broke my arm!!! hope all are ok tc sandra xxxx


 Sorry sis. I hope your arm mends quickly. Blessings!


 Hi there ........just read about your arm...so sorry .......Glad you have a hubby like mine lol......does all we ask that is a good hubby.......I have an IV in and Howie is basically doing all around here again........You take care of you please and keep us posted.......God Bless....Lyn


 I am getting thru each day kinda in a daze but have to be strong for my Dad too..... He is so lost w/o Mom,and it is hard to have the roles totally reversed ya know If not for my hubby and daughter ......and my HW family I would be a lost soul I just have a wee bit of advice for all .......Let those you love know it every day as there will come a day when you no longer are able to tell them........God Bless .........Luv all ......Lyn


 Thanks for the reminder Lyn. There is never too much love to go around. Sending you some hot tea sis. Hugs and blessings!


 just a quick update, am going to hospital tomorrow, may need an op on my arm!!! will be gone for afew days, will catch up with you all when i get out!! tc all mrs mac xxx


 mrs mac.........My thoughts and prayer's are with you .....Post as soon as you are able ........God Bless......Lyn


 Hi there hun I am so sorry that you needed to have this done......I hope you are feeling better real soon and glad you are with your Mom........Prayer's are with as always ........God Bless......Love and gentle huggs.Lyn


 thanks lyn!! yeah not too bad, had a bit of a cold, and arm is still giving me a few probs, but hey i'll get there!! lol hope you are ok love sandra xxx


 Sandra Wondering how you are doing Luvs LYN"
Not sure what to do,"Hello, I am new to this site and looking for lots of answers. My Mom is 63 years old and I am very afraid she has the onset of AD. Although she will not go to the doctors or admit she has a problem. She has severe short term memory loss. She often doesn't realize that she has asked us things ten times or we have just told her what time we are leaving to go somewhere. Just recently she was watching my niece and nephew. We fed them lunch together. Then I left. I came back 1 hour later and she was feeding them lunch again. I said Mom, what are you doing. She said it is lunch time I am feeding them lunch. I said Mom we just fed them chicken nuggets. She said oh yeah. I am not sure if she really remembered or not. My Dad is no longer alive so it is up to my sister and I to take care of her. I don't know what to do , I think I need to get her help, but how. Her health otherwise is very good. Please help me.","how are things going


 Welcome I am so sorry you have had to come here but here at least you will find answers and get support It sounds like your mom is in need of a doctor preferably.......... Neuroligist....SHE needs this IMO This type of doc will give her the going over and tests to see what she is at on the scale ......... Medications do help with some when caught in time sounds like she is not that bad so far * I found my dad out wandering in Pajamas at 12:30 am the other night said he was going to get mail ......* I have just lost my mom past March and it is still raw and hurts like Hades I looked after her too Please know you are not alone and I will try to help you out as much as I am able Resources in yellow at side are great too I recommend the ""36 Hour Day"" Book Please post and let me know whats happening ..... God Bless Lyn"
HELp!!!???,"Hi!My grandpa was diagnosed with Alzheimers years ago (Hes 85 now)and hes really going down hill.Hes at home still(My grandmother died 1 1/2 years ago)so my aunt Is taking care of him.Hes getting soooooooooo skinny and Is totally dependent on Diapers(depends)and cant really go anywhere or walk good.He doesnt know too much anymore and is easily irritated.Now hes having hallucinations-Is this all normal?Is he In a late stage??Any help would be appreciated,my family doesnt know alot about this disease.His meds are-Reminyl(4 mg)Zyrexa(5mg)Altace (2.5mg)I sure would love to know more.Thanks!!!","Sandy, Your grandfather is probably reaching the end stage of senility or altzhiemers. For our elderly, nutrution plays a huge role in their memory and every day health so consider his food intake daily. Unrinary tract infections are another problem that rarely show symptoms in the elderly and cause incontience. All of the above can problems with memory and hallucinations as well as altzheimers. Make sure your physician is aware of your grandfather's deteriorating condition and see if he can order home health so a Nuse can evaluate his condition and make suggestions. The Nurses should also be able to get your family some relief with bathing and daily care. Good luck and I hope you can help your grandfather live comfortably. It's wonderful he has someone as concerned as you in his life.


 Yes,Nameda was approved,& my Insurance covers it when my time comes to take..........


 Sandy,with all the imformation out out there,your family needs to learn about it,teach them...........


 The love & feelings are still there,you just need to know how to get it out,but if he's too far into the disease,you may never..............


 THANKS FOR ALL THE REPLIES!MYGRANDFATHERS DIED sEPT 24,2004


 How are you making out hun I do know what you are going thru honestly Lyn


 Sandy,Yes this is normal for him. I was dx with Alzheimer's 6 yrs.ago.I was on Aricept the first 4 years.I now take Renimyl the full dose of 24 mg.per day.


 hey there, i'm not quite sure of the drugs out there, but i do know that namenda is undergoing testing or has been approved for use. you can check out more news stories regarding alzheimer's at www.alzinfo.org i found the site to be very helpful and highly credible. best, pilot


 In a way, you could say I know plenty. Both of my grandparents have this disease. I lost my grandfather in 1998 to it. My grandma was diagnosed in 1999. She "" had "" to have some heart surgery or whatever and they blamed lack of Oxygen to it. There, I believe, are many different types and phases of this disease because we ended up having to put my grandfather in a home because no matter how closely we watched him, he was still able to sneak out the house; my grandma on the other hand is in a hospital bed on an air mattress. My dad works for a Home health Care thing and so it was very easy for us to be able to find assistance in taking care of my grandma. Yes, it is 2004 and she is still here. She was born in 1919, too. All I can really say is make your grandpa as comfy as possible. My grandma is so far gone that we can barely get enough nutrition down her, and she doesn't show pain. She takes Hydrocodone (still, I think), for pain when they had to extract some teeth that she was literally chewing away. She is in diapers and we have a nurse who comes 3 days a week that changes her and bathes her. It has been really stressful because my mom has been forced to work on weekends only now since I and my sister and brother have gotten older and are in college now (Sophomore, Junior, ""Senior""). My sister still has a few more years of school before graduating and then will be planning a wedding. And, I, am soon to go off to a university and leave the Community college atmosphere. You may want to see if your city has anything like a Home Health Care Service in which a nurse, aide, whatever, will come to the house, most likely 3 times a week, and do what is needed to help you take care of your grandfather. The service we use also has a 24 hour on call unit where if my grandma has a ""seizure"" they will come out and assist the inncident and do/call whatever whomever needed to make it pass. Please let me know if this helps and whatnot! Sincerely, AuSsie


 Hi Sandy, My dad passed away from Alzhiemer's in a nursing home. I got to his bedside on his last day but an hour too late and didn't get the chance to say good-bye. I would say to you, talk to him all the time and help him remember all the good times and how much he means to you. Try to get him to drink lots of liquids if he is able because I believe dehydration really intensifies the symptoms of the disease. The late stage for my dad was when he refused food (or just couldn't remember how to eat or swallow). Still, I always believed he could hear and understand what we said to him even though he couldn't respond so let him hear your loving words. My Love to you and your family


 Sandy, You and your family need to watch these videos that my family has. They are called The Family's Guide to Alzheimer's Disease. I am not kidding...these helped us sooo much. It made all our problems more managemable. I don't think we could live without them. They are hosted by Leeza Gibbons, and I think you can buy them online at the Lifestyle resources website. Hope this helps.


 So sorry for your loss ** Always remember HE is watching over you at all times and is no longer in pain ........** Lyn


 bump"
Sundowners question,"Hi Lyn (and everyone else ), I have a question about Sundowners. My 87 year old grandmother is in the hospital and has been there for the past 4 days due to a bladder procedure. But during her stay there, she has been majorly confused and disorientated. She is normally a little ""out of it"" at home (she lives with me) but she has never been this confused before. The nurses said that it's Sundowners and for the 2 past nights at the hospital, they've had to strap her down because she was getting violent with the nurses and trying to get out of bed. So my question is, how typical is it for her mental status to go back to normal once she is home with familiar surroundings? Have anyone heard of Sundowners subsiding after getting home? I guess I'm trying to prepare myself if in the event that it doesn't go away. I love my gma dearly but I won't be able to care for her properly if she stays this confused. And it breaks my heart just thinking of putting her in a home, but I don't see any alternative if her confusion lasts. Thanks","Thanks Lyn :) Things were way rough this morning when I got to the hospital, but I managed to calm my gma down in about 15 minutes. I was able to stay with her for about 3 1/2 hours but then I had to come home for my kids. I sincerely hope that this only a temporary thing and I'm wishing that when I go there tomorrow that she will be a little more in her head. They're going to try changing a few of her meds to see if that helps. It's always nice to have hope isn't it??


 Hi Sherry With my mom it did subside ONCE home she was so upset and disoriented from being in the hospital and was angry I had let her go there lol She had pneumonia at the time and what else could I do as well her COPD was really in uproar Sometimes if it goes too long or gets way outta control to be honest and thats what I want to be with you No it probably wont change BUT thats not to say her attitude will not change at all it will or I should say should get somehwhat back to the "" norm"" when home and in her 'Safe Zone"" The other good place to look for about this is alzinfo .com in our HW resources I know mom was okay when she got home actually took just a couple of days and then her anger and frustration was mostly all gone but for a few times when she would revert back to hospital memories I wish you all the best and your grama too Please know I am keeping you""s in thoughts and prayers It is a great thing that you have her at home with you I feel it is a blessing most times yet it can be a rough road too Please dont hesitate to come over n chat about it okay Snowy is our resident expert on many things here as well ..lol Take care LYN


 Really when it comes to this DD thats all there is and it is sad at times .It just robs us of so much and them of course Hoping you have a better day and your gma too.maybe chaging meds is what will help Lyn"
sundowners in children,"Hello, I was hoping someone can help me. My friend's son has been in and out of the hospital for the last three to four months .He is back in now . They think he might have Sundowners. But I've looked and I can't find anything about children that have it. I've never heard of a child with Sundowners . Could some please help me if you can. Thank You . cna252000","Thank you Lyn for your reply. I'm glad I found this site . My friend's son is 15 . His mother thinks now that zantac may of had some bad side effects on him. I thank you for your reply very much. Hope you have a nice weekend.


 How are things going post and let me know when you can plz Lyn


 Sorry . I haven't been on in awhile . All work and no play. Hope you and your family have a Happy Valentine. Bye.


 Hi there I dont know where else you could look .I do know I have seen in the past when nursing :kids that I now believe had Sundowners but they were not DX early and with difficulty . I have seen so much of it with in our seniors with AD and some non AD er's I wish i could be more help but all i can say is I hope they find a good tx plan for that lil guy .......Glad you found us here post again if you would like there is lots of support on this site .... Lyn


 No problem and zantac could be the culprit You have a great weekend too and keep checking in k Lyn


 How was your weekend have not seen ya around wondering how you are doing hun Post when ya can k Lyn


 Wishing you and yours the same Lyn"
"Hallucinations, Parkinson's Dementia, and Razadyne","My wife was diagnosed with Parkinson's Disease in 1995 . . takes Mirapex, Sinemet, and Amantadine for PD. Recently has had heavy bouts of hallucination. Her doctor has reduced and attempted to balance her meds over the 24 hour day to see if the meds might be causing the hallucinations. So far this hasn't helped. It also appears that there are different kinds of hallucinations . . my wife, Elinor is seeing things that are not there or happening, like there are critters in the house or our giant popular tree is moving up and down to let our neighbors cat pass under, and there are workers camping out on our deck in freezing weather. Other people talk about seeing ""green and pink lace patterns on all white surfaces"". (Elinor does not appear to have any other symptoms of AD that I read about ) I was wondering if the Razadyne ER is going to help my wife Elinor with her hallucination problems combined with the effects of Parkinson's disease?? And, how long should I expect to wait to see results?? (she has just taken her 7th 8mg capsule) Any other advice would be greatly appreciated!! Tom","I have been on Razadyne the last 5 yrs with no problems..........


 Hoping you finally got the input from Snowy Lyn


 Welcome Tom I would imagine it will take a few more doses of that med to finally kick in to help her There is a Parkinsons Forum on here that may be better help but I sure am glad you found us It is hard to look after those we love but rewarding isnt it in the end I looked after Mom till she passed and now look after Dad he has AD as well I hope I have been of some help to you All the best for the Holidays and a better 2007 to you and your wife God Bless Lyn


 Thanks sooooooooo Much Snowy Hey I am so glad you got a new puter for Christmas ............. I needs your knowklege her ya know . All the best to you and Larry for Christmas and 2007 I sure hope your tests go great as well Luvs ya 'Lyn"
